   Medha Speed Time Distance Recording System Type MRT 922
                    Long  Term Digital Report       Recorder Sl.No  2222
___________________________________________________________________________________________________________________________________________________________
Filename           :CMLM438             Locono  : 039027       FileSave Date : 23-05-2023
Userfilename       :                                   FileSave Time : 03:36:10 PM
Start Date , Time  :02/05/23  03:15:12  End Date , Time : 06/05/23   13:22:21
Shedname           :BRCY              Start Dist   : 0  End Dist : 2787.217
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :2165 GGC          Train No: 19020            Locono : 39027  Spd Limit :140 Kmph   Wheel Dia :1037 mm 
02/05/23 | 03:40:52 | 073 | 0547 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:41:22 | 083 | 0655 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:41:52 | 091 | 0728 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:42:22 | 093 | 0782 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:42:52 | 070 | 0690 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:43:22 | 042 | 0436 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:43:52 | 031 | 0301 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:44:22 | 013 | 0188 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:44:52 | 002 | 0067 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:44:53 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | STOP                      
02/05/23 | 03:45:23 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:45:53 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:46:04 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | START                     
02/05/23 | 03:46:34 | 005 | 0024 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:47:04 | 014 | 0069 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:47:34 | 032 | 0188 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:48:04 | 051 | 0350 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:48:34 | 067 | 0497 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:49:04 | 078 | 0604 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:49:34 | 087 | 0691 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:50:04 | 094 | 0757 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:50:34 | 101 | 0813 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:51:04 | 106 | 0860 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:51:34 | 110 | 0900 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:52:04 | 110 | 0919 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:52:34 | 109 | 0915 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:53:04 | 109 | 0908 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:53:34 | 109 | 0911 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 03:54:04 | 110 | 0913 | Off | Off | On  | Off | Off | Off | Off | Off |                           
