   Medha Speed Time Distance Recording System Type MRT 922
                    Long  Term Digital Report       Recorder Sl.No  4105
___________________________________________________________________________________________________________________________________________________________
Filename           :CMLM441             Locono  : 037341       FileSave Date : 23-05-2023
Userfilename       :37341                              FileSave Time : 03:36:56 PM
Start Date , Time  :19/05/23  16:05:02  End Date , Time : 23/05/23   10:13:30
Shedname           :BRC               Start Dist   : 0  End Dist : 599.395
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :BRC1173           Train No: 22960            Locono : 37341  Spd Limit :140 Kmph   Wheel Dia :1068 mm 
19/05/23 | 17:24:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:24:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:25:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:25:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:26:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:26:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:27:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:27:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:28:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:28:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:29:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:29:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:30:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:30:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:31:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:31:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:32:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
